run,split,class,threshold,tp,fp,precision,recall,f1
y26_p2k2_hi,test,backpack,0.35,1293,390,0.7683,0.7846,0.7763
y26_p2k2_hi,test,backpack,0.4,1270,325,0.7962,0.7706,0.7832
y26_p2k2_hi,test,backpack,0.5,1223,226,0.8440,0.7421,0.7898
y26_p2k2_hi,test,backpack,0.6,1166,154,0.8833,0.7075,0.7857
y26_p2k2_hi,test,backpack,0.7,1070,93,0.9200,0.6493,0.7613
y26_p2k2_hi,val,bag,0.001,1847,26463,0.0652,0.9263,0.1219
y26_p2k2_hi,val,bag,0.005,1775,8967,0.1652,0.8902,0.2787
y26_p2k2_hi,val,bag,0.01,1727,5834,0.2284,0.8661,0.3615
y26_p2k2_hi,val,bag,0.02,1674,3897,0.3005,0.8395,0.4426
y26_p2k2_hi,val,bag,0.03,1638,3045,0.3498,0.8215,0.4906
y26_p2k2_hi,val,bag,0.05,1595,2276,0.4120,0.7999,0.5439
y26_p2k2_hi,val,bag,0.07,1556,1863,0.4551,0.7803,0.5749
y26_p2k2_hi,val,bag,0.1,1527,1500,0.5045,0.7658,0.6082
y26_p2k2_hi,val,bag,0.12,1510,1322,0.5332,0.7573,0.6258
y26_p2k2_hi,val,bag,0.15,1479,1138,0.5652,0.7417,0.6415
y26_p2k2_hi,val,bag,0.2,1442,939,0.6056,0.7232,0.6592
y26_p2k2_hi,val,bag,0.25,1395,780,0.6414,0.6996,0.6692
y26_p2k2_hi,val,bag,0.3,1362,657,0.6746,0.6830,0.6788
y26_p2k2_hi,val,bag,0.35,1322,535,0.7119,0.6630,0.6866
y26_p2k2_hi,val,bag,0.4,1276,437,0.7449,0.6399,0.6884
y26_p2k2_hi,val,bag,0.5,1180,337,0.7779,0.5918,0.6722
y26_p2k2_hi,val,bag,0.6,1060,221,0.8275,0.5316,0.6473
y26_p2k2_hi,val,bag,0.7,914,133,0.8730,0.4584,0.6011
y26_p2k2_hi,test,bag,0.001,1257,17225,0.0680,0.9451,0.1269
y26_p2k2_hi,test,bag,0.005,1196,5871,0.1692,0.8992,0.2849
y26_p2k2_hi,test,bag,0.01,1173,3763,0.2376,0.8820,0.3744
y26_p2k2_hi,test,bag,0.02,1134,2444,0.3169,0.8526,0.4621
y26_p2k2_hi,test,bag,0.03,1108,1905,0.3677,0.8331,0.5102
y26_p2k2_hi,test,bag,0.05,1081,1393,0.4369,0.8128,0.5683
y26_p2k2_hi,test,bag,0.07,1065,1170,0.4765,0.8008,0.5975
y26_p2k2_hi,test,bag,0.1,1034,956,0.5196,0.7774,0.6229
y26_p2k2_hi,test,bag,0.12,1021,863,0.5419,0.7677,0.6353
y26_p2k2_hi,test,bag,0.15,1002,740,0.5752,0.7534,0.6523
y26_p2k2_hi,test,bag,0.2,974,610,0.6149,0.7323,0.6685
y26_p2k2_hi,test,bag,0.25,947,523,0.6442,0.7120,0.6764
y26_p2k2_hi,test,bag,0.3,918,444,0.6740,0.6902,0.6820
y26_p2k2_hi,test,bag,0.35,890,379,0.7013,0.6692,0.6849
y26_p2k2_hi,test,bag,0.4,863,329,0.7240,0.6489,0.6844
y26_p2k2_hi,test,bag,0.5,791,227,0.7770,0.5947,0.6738
y26_p2k2_hi,test,bag,0.6,715,147,0.8295,0.5376,0.6524
y26_p2k2_hi,test,bag,0.7,610,89,0.8727,0.4586,0.6013
y26_p2k2_hi,val,trolley,0.001,5060,31010,0.1403,0.9727,0.2452
y26_p2k2_hi,val,trolley,0.005,4976,12431,0.2859,0.9566,0.4402
y26_p2k2_hi,val,trolley,0.01,4925,8677,0.3621,0.9468,0.5238
y26_p2k2_hi,val,trolley,0.02,4878,6130,0.4431,0.9377,0.6019
y26_p2k2_hi,val,trolley,0.03,4829,5007,0.4910,0.9283,0.6422
y26_p2k2_hi,val,trolley,0.05,4774,3846,0.5538,0.9177,0.6908
y26_p2k2_hi,val,trolley,0.07,4730,3226,0.5945,0.9093,0.7190
y26_p2k2_hi,val,trolley,0.1,4673,2650,0.6381,0.8983,0.7462
y26_p2k2_hi,val,trolley,0.12,4648,2351,0.6641,0.8935,0.7619
y26_p2k2_hi,val,trolley,0.15,4611,2036,0.6937,0.8864,0.7783
y26_p2k2_hi,val,trolley,0.2,4558,1634,0.7361,0.8762,0.8001
y26_p2k2_hi,val,trolley,0.25,4491,1303,0.7751,0.8633,0.8168
y26_p2k2_hi,val,trolley,0.3,4436,1094,0.8022,0.8527,0.8267
y26_p2k2_hi,val,trolley,0.35,4379,901,0.8294,0.8418,0.8355
y26_p2k2_hi,val,trolley,0.4,4310,738,0.8538,0.8285,0.8410
y26_p2k2_hi,val,trolley,0.5,4097,505,0.8903,0.7876,0.8358
y26_p2k2_hi,val,trolley,0.6,3829,321,0.9227,0.7361,0.8189
y26_p2k2_hi,val,trolley,0.7,3467,186,0.9491,0.6665,0.7831
y26_p2k2_hi,test,trolley,0.001,3104,19007,0.1404,0.9718,0.2453
y26_p2k2_hi,test,trolley,0.005,3042,7419,0.2908,0.9524,0.4456
y26_p2k2_hi,test,trolley,0.01,3009,5111,0.3706,0.9421,0.5319
y26_p2k2_hi,test,trolley,0.02,2972,3571,0.4542,0.9305,0.6105
y26_p2k2_hi,test,trolley,0.03,2947,2931,0.5014,0.9227,0.6497
y26_p2k2_hi,test,trolley,0.05,2913,2261,0.5630,0.9120,0.6962
y26_p2k2_hi,test,trolley,0.07,2889,1873,0.6067,0.9045,0.7262
y26_p2k2_hi,test,trolley,0.1,2851,1550,0.6478,0.8926,0.7508
y26_p2k2_hi,test,trolley,0.12,2832,1391,0.6706,0.8867,0.7637
y26_p2k2_hi,test,trolley,0.15,2818,1183,0.7043,0.8823,0.7833
y26_p2k2_hi,test,trolley,0.2,2783,969,0.7417,0.8713,0.8013
y26_p2k2_hi,test,trolley,0.25,2754,793,0.7764,0.8622,0.8171
y26_p2k2_hi,test,trolley,0.3,2721,648,0.8077,0.8519,0.8292
y26_p2k2_hi,test,trolley,0.35,2681,543,0.8316,0.8394,0.8355
y26_p2k2_hi,test,trolley,0.4,2631,460,0.8512,0.8237,0.8372
y26_p2k2_hi,test,trolley,0.5,2505,299,0.8934,0.7843,0.8353
y26_p2k2_hi,test,trolley,0.6,2354,205,0.9199,0.7370,0.8184
y26_p2k2_hi,test,trolley,0.7,2131,113,0.9496,0.6672,0.7837
