ALL RUNS — confusion leak (TEST split)
matrix[predicted, true]; 'missed' = predicted as background

run                       true           n  correct   as_backpack        as_bag    as_trolley   missed
y26_swa_a07_04            backpack    1648     75.1           0.0           4.8           1.3     18.7
y26_swa_a07_04            bag         1330     67.4           3.8           0.0           4.0     24.9
y26_swa_a07_04            trolley     3194     84.4           0.4           1.2           0.0     13.9
y26_swa_a08_04            backpack    1648     77.2           0.0           4.6           1.9     16.3
y26_swa_a08_04            bag         1330     68.3           4.9           0.0           3.6     23.2
y26_swa_a08_04            trolley     3194     85.0           0.8           1.5           0.0     12.7
y26_swa_a09_03            backpack    1648     78.6           0.0           4.7           1.3     15.4
y26_swa_a09_03            bag         1330     67.4           4.5           0.0           4.1     23.9
y26_swa_a09_03            trolley     3194     84.8           1.2           1.6           0.0     12.5
y26_swa_a09_04            backpack    1648     78.8           0.0           3.9           1.1     16.1
y26_swa_a09_04            bag         1330     68.3           5.3           0.0           4.0     22.3
y26_swa_a09_04            trolley     3194     85.2           0.8           1.2           0.0     12.7
y26_wide_starve           backpack    1648     79.2           0.0           4.1           1.4     15.3
y26_wide_starve           bag         1330     67.9           4.5           0.0           4.1     23.5
y26_wide_starve           trolley     3194     86.2           0.5           1.6           0.0     11.7

HOW TO READ IT
  missed high, misclassified low   -> a DETECTION / CONFIDENCE problem. The
     campaign was aimed correctly and you are near the ceiling.
  misclassified high               -> a CLASSIFICATION problem. Every mechanism
     tried so far (assignment, localisation, box regression) is orthogonal to
     it, which would explain twelve flat results.

  Compare the SAME class ACROSS runs. If the misclassified column is identical
  for baseline / best-config / NWD, no loss mechanism ever moved the real
  failure — a cleaner statement than any of the mAP deltas.

  *_valid.png files come from training (VAL split). The leak table and the
  *_test.* files come from this script's re-evaluation on the 'test' split.
